,Date,PnL,Capital
388,2018-09-18,168474.3199999989,225000000
389,2018-09-19,1780637.7199999958,225000000
390,2018-09-20,-830413.8299999997,225000000
391,2018-09-21,-510486.359999998,225000000
392,2018-09-24,-3458571.7399999998,225000000
393,2018-09-25,-1560653.9599999997,225000000
394,2018-09-26,579406.8900000016,225000000
395,2018-09-27,-920930.8899999977,225000000
396,2018-09-28,-413436.1599999993,225000000
397,2018-10-01,2485257.52,225000000
398,2018-10-02,1836646.3199999994,225000000
399,2018-10-03,1847053.1399999997,225000000
400,2018-10-04,3684739.529999999,225000000
401,2018-10-05,99258.47000000099,225000000
402,2018-10-08,1593249.7199999997,225000000
403,2018-10-09,-959996.0300000005,225000000
404,2018-10-10,-727277.1700000003,225000000
405,2018-10-11,-20644.299999997722,225000000
406,2018-10-12,3389792.429999997,300000000
407,2018-10-15,-1100306.28,300000000
408,2018-10-16,3931636.609999997,300000000
409,2018-10-17,725493.6099999998,300000000
410,2018-10-18,-676768.7499999984,300000000
411,2018-10-19,-442246.01000000257,300000000
412,2018-10-22,-1461530.5300000014,300000000
413,2018-10-23,-725526.73,300000000
414,2018-10-24,-4664657.760000002,300000000
415,2018-10-25,4583683.949999999,300000000
416,2018-10-26,-2024512.7099999993,300000000
417,2018-10-29,-3839237.3,300000000
418,2018-10-30,-81569.49999999783,300000000
419,2018-10-31,1692196.2499999963,300000000
420,2018-11-01,2643706.259999998,300000000
421,2018-11-02,2071369.47,300000000
422,2018-11-05,-937680.8400000001,300000000
423,2018-11-06,15858.199999997873,300000000
424,2018-11-07,2055664.4699999997,300000000
425,2018-11-08,1977282.790000002,300000000
426,2018-11-09,-823359.1300000024,300000000
427,2018-11-12,-832036.6100000014,300000000
428,2018-11-13,-213607.36000000237,300000000
429,2018-11-14,-2715488.379999998,300000000
430,2018-11-15,3685699.6899999827,300000000
431,2018-11-16,555560.1599999978,300000000
432,2018-11-19,-1578386.209999999,300000000
433,2018-11-20,-411638.7400000001,300000000
434,2018-11-21,4004451.1399999973,300000000
